fromId,toId,walk_time
06085512042,06085512042,0
06085512042,06085512020,48
06085512042,06085512029,50
06085512042,06085503116,79
06085512042,06085503211,118
06085512042,06085512026,57
06085512042,06085512032,99
06085512042,06085512019,66
06085512042,06085512031,87
06085512042,06085512045,90
06085512042,06085512023,45
06085512042,06085512038,105
06085512042,06085512047,94
06085512042,06085512037,73
06085512042,06085503218,56
06085512042,06085503212,100
06085512042,06085503336,110
06085512042,06085503210,71
06085512042,06085512039,66
06085512042,06085503217,67
06085512042,06085503207,76
06085512042,06085512025,74
06085512042,06085512030,87
06085512042,06085512017,26
06085512042,06085503204,82
06085512042,06085512001,90
06085512042,06085512036,73
06085512042,06085512027,95
06085512042,06085512021,29
06085512042,06085512005,96
06085512042,06085503115,96
06085512042,06085512024,98
06085512042,06085512033,78
06085512042,06085512022,30
06085512042,06085512034,109
06085512042,06085512052,114
06085512042,06085503337,93
06085512042,06085512053,104
06085512042,06085503214,98
06085512042,06085503208,44
06085512042,06085503213,97
06085512042,06085512043,25
06085503306,06085503306,0
06085503306,06085503323,71
06085503306,06085503401,40
06085503306,06085503110,67
06085503306,06085503118,66
06085503306,06085503703,44
06085503306,06085503105,87
06085503306,06085503710,72
06085503306,06085503211,54
06085503306,06085501402,96
06085503306,06085503121,113
06085503306,06085501401,105
06085503306,06085503324,73
06085503306,06085503511,43
06085503306,06085503402,28
06085503306,06085503601,101
06085503306,06085503507,30
06085503306,06085503713,89
06085503306,06085503510,56
06085503306,06085503117,79
06085503306,06085503329,98
06085503306,06085503707,98
06085503306,06085503212,70
06085503306,06085503708,99
06085503306,06085503336,73
06085503306,06085503210,116
06085503306,06085501501,89
06085503306,06085501600,111
06085503306,06085503111,57
06085503306,06085503712,81
06085503306,06085501502,93
06085503306,06085503711,58
06085503306,06085503321,45
06085503306,06085503509,66
06085503306,06085503112,103
06085503306,06085503313,98
06085503306,06085503217,114
06085503306,06085503508,73
06085503306,06085503333,99
06085503306,06085503207,93
06085503306,06085503315,61
06085503306,06085504101,102
06085503306,06085503122,90
06085503306,06085504001,78
06085503306,06085503506,43
06085503306,06085503204,108
06085503306,06085503326,112
06085503306,06085503327,90
06085503306,06085503504,29
06085503306,06085503902,109
06085503306,06085504102,91
06085503306,06085503115,115
06085503306,06085503304,47
06085503306,06085504002,65
06085503306,06085503337,75
06085503306,06085503325,78
06085503306,06085503709,106
06085503306,06085503214,93
06085503306,06085503213,78
06085503306,06085503804,117
06085503306,06085501300,112
06085503306,06085503322,75
06085503306,06085503903,95
06085503306,06085503305,39
06085503306,06085503602,68
06085503108,06085503108,0
06085503108,06085512020,83
06085503108,06085503118,119
06085503108,06085503116,53
06085503108,06085503105,118
06085503108,06085503003,52
06085503108,06085503211,120
06085503108,06085500902,119
06085503108,06085512026,96
06085503108,06085503121,70
06085503108,06085502800,114
06085503108,06085512019,69
06085503108,06085503001,44
06085503108,06085503002,38
06085503108,06085512047,117
06085503108,06085503218,97
06085503108,06085503210,118
06085503108,06085502906,115
06085503108,06085501600,112
06085503108,06085503113,76
06085503108,06085503123,44
06085503108,06085503112,97
06085503108,06085503217,97
06085503108,06085502603,106
06085503108,06085512025,73
06085503108,06085502908,94
06085503108,06085503122,99
06085503108,06085511914,117
06085503108,06085502907,74
06085503108,06085503204,110
06085503108,06085501700,93
06085503108,06085502901,105
06085503108,06085512027,76
06085503108,06085511915,98
06085503108,06085512021,109
06085503108,06085502301,81
06085503108,06085502601,91
06085503108,06085512005,42
06085503108,06085503115,97
06085503108,06085512024,59
06085503108,06085500800,115
06085503108,06085502909,78
06085503108,06085501900,102
06085503108,06085502202,104
06085503108,06085512052,95
06085503108,06085502201,115
06085503108,06085502902,87
06085503108,06085512053,100
06085503108,06085502500,50
06085503108,06085503214,94
06085503108,06085503208,117
06085503108,06085502400,69
06085503108,06085503213,112
06085503108,06085502903,66
06085503108,06085502910,89
06085503108,06085502302,91
06085503108,06085501800,89
06085503323,06085503306,71
06085503323,06085503323,0
06085503323,06085503401,93
06085503323,06085503118,105
06085503323,06085503703,97
06085503323,06085503710,113
06085503323,06085503211,93
06085503323,06085503324,17
06085503323,06085503511,46
06085503323,06085503402,80
06085503323,06085503507,80
06085503323,06085503713,111
06085503323,06085503510,62
06085503323,06085503117,118
06085503323,06085503329,56
06085503323,06085503212,109
06085503323,06085503336,72
06085503323,06085503111,96
06085503323,06085503712,116
06085503323,06085503711,111
06085503323,06085503321,35
06085503323,06085503509,37
06085503323,06085503313,29
06085503323,06085503508,62
06085503323,06085503333,87
06085503323,06085503207,107
06085503323,06085503315,46
06085503323,06085504101,91
06085503323,06085504001,85
06085503323,06085503506,71
06085503323,06085503326,58
06085503323,06085503327,63
06085503323,06085503504,84
06085503323,06085503902,105
06085503323,06085504102,77
06085503323,06085503304,80
06085503323,06085504002,93
06085503323,06085503337,89
06085503323,06085503331,111
06085503323,06085503325,32
06085503323,06085503312,80
06085503323,06085503213,116
06085503323,06085503322,18
06085503323,06085503903,104
06085503323,06085503305,57
06069000600,06069000600,0
06069000600,06069000300,117
06069000600,06069000501,34
06069000600,06069000701,95
06069000600,06069000502,61
06069000600,06069000801,99
06069000600,06069000702,89
06069000600,06069000400,74
06085503401,06085503306,40
06085503401,06085503323,93
06085503401,06085503401,0
06085503401,06085503110,33
06085503401,06085503118,68
