GEOID,car_access,transit_access,ratio
06085512042,869845,1702,0.0019566704412855166
06085503306,909530,1765,0.0019405627082119336
06085503108,894021,1991,0.002227017038749649
06085503323,861312,1956,0.0022709540793580027
06069000600,32573,1376,0.042243575967826116
06085503401,940733,3661,0.0038916461950415262
06085512020,911924,1692,0.0018554177760427403
06085503110,967290,7139,0.007380413319686961
06085512029,892679,2073,0.0023222233299988013
06085503118,900527,1287,0.0014291631455803102
06085503116,922728,1575,0.0017068952063880147
06085509107,1003832,4564,0.004546577514962663
06085510803,942480,11479,0.012179568797215856
06085504418,950616,2914,0.0030653807636311613
06085509902,997157,6486,0.006504492271527954
06085511301,893018,23071,0.025834865590615194
06085511913,857197,427,4.981352011264622e-4
06085503703,962033,7138,0.007419703897891237
06085503105,939243,6466,0.0068842674366484495
06085503710,923620,6474,0.0070093761503648684
06085503003,910940,2889,0.0031714492721803852
06085509201,1019102,20723,0.020334569061781844
06085508505,991976,2939,0.0029627732929022477
06085503211,918211,3625,0.003947894329299039
06085500902,997572,36535,0.03662392288476421
06085506102,1001080,3584,0.0035801334558676627
06085510300,958384,5112,0.005333978864421777
06085501402,995177,48011,0.048243679265095554
06085512026,884487,1151,0.0013013192958178017
06085512032,824281,15848,0.019226453114896496
06085500400,1023804,59673,0.05828557028493735
06069000802,832,832,1
06085503121,953563,6445,0.006758861239372752
06085502800,964062,1947,0.002019579653590744
06085512603,97082,2465,0.025390906656228757
06085506402,991111,9694,0.009780942800554126
06085506301,970230,6926,0.0071385135483339
06085512019,906229,2513,0.002773029775034787
06085506604,987165,4171,0.004225230837803204
06085503001,913446,3139,0.003436437402977297
06085512031,842302,794,9.426547722788264e-4
06085506401,1004096,17998,0.017924580916565746
06085501401,989002,26369,0.026662231218945967
06085503324,849860,2244,0.0026404348951592025
06085508001,992369,7608,0.007666503085041955
06085503511,903598,2438,0.0026981024747730737
06085504505,997181,13180,0.013217259454401959
06085512045,877640,2986,0.0034023061847682423
06085509202,992033,5277,0.005319379496448203
06085512023,895306,1972,0.002202598887977965
06069000300,32740,680,0.020769700671960906
06085512311,577226,7156,0.012397223964270494
06085503402,936168,3482,0.003719417882260449
06085509500,982540,16494,0.016787102815152565
06085509700,990505,10482,0.010582480653807905
06085504901,1024780,5179,0.005053767637932044
06085503002,920733,2767,0.0030052143238050552
06085503601,993088,8215,0.008272177289424502
06085504320,890979,1568,0.0017598619047138036
06085508404,1008979,5401,0.0053529359877658505
06085512038,834876,69,8.264700386644244e-5
06085505303,1028617,31072,0.030207550526580838
06085503507,932377,6819,0.007313565220935308
06085507903,969936,1026,0.0010578017518681644
06085506305,991162,3426,0.0034565489798842166
06085507807,998702,3483,0.003487526809799119
06085506103,1002983,5757,0.005739877944092771
06085512047,903566,2036,0.0022532941699886892
06085503713,908857,7402,0.008144295527239158
06085504423,911105,1471,0.0016145230242397967
06085505402,1029839,4524,0.00439291966996783
06085504410,918275,2050,0.002232446707141107
06085510900,935314,2685,0.002870693692171827
06085503510,894209,1779,0.001989467786613644
06085511916,894551,1846,0.0020636050935050098
06085503117,969546,6818,0.0070321573189926
06085507808,996634,2419,0.0024271698537276475
06085509404,967233,16881,0.017452878468786737
06085512037,861579,2985,0.003464569122506468
06085503218,878539,2420,0.0027545732175805514
06085503329,836386,1520,0.0018173427101840537
06085506803,925511,577,6.234393756530176e-4
06085500100,1018751,59096,0.05800828661763277
06085508602,1012235,9023,0.008913937968949898
06085511707,37284,1318,0.0353502843042592
06085508403,1008388,4483,0.004445709389639702
06085503707,946457,4293,0.004535863752922743
06085503212,904231,2729,0.0030180341085408484
06085503708,915028,6613,0.0072271012471749494
06085511912,750867,240,3.196305071337534e-4
06085504421,949097,3269,0.0034443265546092758
06085503336,910901,2268,0.002489842474648727
06085512508,75707,1039,0.013723962117109382
06085512506,99113,5093,0.05138579197481662
06085508003,1004418,12628,0.012572454894277083
06085503210,874627,1829,0.002091177153232178
06085501200,971525,46747,0.04811713543140938
06085502906,897039,1992,0.002220639236421159
06085504413,996974,2615,0.002622937007384345
06085501501,978110,9032,0.009234135219965035
06085509106,1001159,5567,0.005560555316388306
06085501600,996448,20577,0.020650350043353992
06085509403,975741,15761,0.016152852037579643
