GEOID,med_incomeE,total_hhsE,no_veh_hhE,one_veh_hhE,two_veh_hhE,three_veh_hhE,fourmore_veh_hhE,no_worker_hhE,one_worker_hhE,two_worker_hhE,threemore_worker_hhE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_workerE,total_wfhE,hh_cardef_1w0vE,hh_cardef_2w0vE,hh_cardef_2w1vE,hh_cardef_3w0vE,hh_cardef_3w1vE,hh_cardef_3w2vE,total_jobs,basic_jobs,retail_jobs,service_jobs,geometry,ratio_no_veh,ratio_no_worker,ratio_lt_10k,non_wfh,cardef_hh,carnodef_hh,wfh_percent,alt_service_jobs,jobs_change,commuter_change,alt_non_wfh,alt_wfh,car_access,transit_access,ratio,inc_quint_1,inc_quint_5,pct_big_hh,pct_lo_inc,pct_hi_inc,pct_no_veh,pct_wfh_pop,pct_cardef_hh,transit_access_100k,pred,no_vehE
06085512042,32250,878,86,221,265,133,173,139,282,349,108,149,274,101,354,27,39,50,4,38,41,14,27,9,79,80,120,84,88,97,81,1508,58,26,3,39,5,0,6,308,51,15,242,"list(list(c(-121.819978, -121.818514, -121.815679, -121.813649, -121.811757, -121.808866, -121.808333, -121.809875, -121.809981, -121.810299, -121.813525, -121.817484, -121.822106, -121.819978, 37.269292, 37.269695, 37.269195, 37.269185, 37.269195, 37.269384, 37.26909, 37.268504, 37.261582, 37.260202, 37.262196, 37.264536, 37.26743, 37.269292)))",0.0979498861047836,0.15831435079726652,0.03075170842824601,1450,79,799,0.4,145.2,96.8,580,870,638,869845,1702,0.00195667044128551,120,350,0.5182232346241458,0.1366742596810934,0.39863325740318906,0.07160546761777593,0.038461538461538464,0.08997722095671981,0.01702,0.07160546761777593,63
06085503306,28213,922,46,143,253,221,259,145,220,191,366,56,132,186,548,6,30,19,54,4,28,49,32,24,48,83,125,112,91,88,129,2149,80,6,0,24,5,21,18,627,64,81,482,"list(list(c(-121.831756, -121.824833, -121.825302, -121.826515, -121.828103, -121.826323, -121.821511, -121.820054, -121.81998, -121.817439, -121.81411, -121.813986, -121.812686, -121.812947, -121.822327, -121.825893, -121.828937, -121.829243, -121.830089, -121.830305, -121.831756, 37.328287, 37.332979, 37.334683, 37.334019, 37.335508, 37.336712, 37.339952, 37.340738, 37.340597, 37.337819, 37.333091, 37.332913, 37.331139, 37.331119, 37.324781, 37.322371, 37.325449, 37.325759, 37.32661, 37.326829, 
37.328287)))",0.04989154013015184,0.15726681127982647,0.00650759219088937,2069,74,848,0.4,289.2,192.8,827.6,1241.4,907.6,909530,1765,0.00194056270821193,109,420,0.7960954446854663,0.11822125813449023,0.455531453362256,0.061732585317409085,0.03722661703117729,0.08026030368763558,0.01765,0.061732585317409085,57
06085503108,46587,3048,162,1058,1292,431,105,472,1323,1155,98,648,985,697,718,25,84,136,111,83,57,93,157,45,132,230,279,203,209,472,732,4038,69,25,11,94,0,0,44,1983,107,1013,863,"list(list(c(-121.883182, -121.881894, -121.881425, -121.880689, -121.87539, -121.873038, -121.872864, -121.87163, -121.871361, -121.870895, -121.870136, -121.86585, -121.864749, -121.863403, -121.862939, -121.870401, -121.875302, -121.876789, -121.877465, -121.877846, -121.879184, -121.881088, -121.882712, -121.883182, 37.285678, 37.28865, 37.290644, 37.292242, 37.292772, 37.294482, 37.294715, 37.291643, 37.290967, 37.289856, 37.288355, 37.282227, 37.279805, 37.276531, 37.27445, 37.275277, 37.275738, 
37.2757, 37.276842, 37.278496, 37.280429, 37.281491, 37.284592, 37.285678)))",0.0531496062992126,0.15485564304461943,0.0082020997375328,3969,174,2874,0.4,517.8,345.20000000000005,1587.6,2381.3999999999996,1656.6,894021,1991,0.00222701703874964,356,1616,0.464238845144357,0.1167979002624672,0.5301837270341208,0.06096520943143846,0.017087667161961365,0.05708661417322835,0.01991,0.06096520943143846,186
06085503323,38851,1236,25,213,376,333,289,143,429,407,257,65,264,443,464,21,0,5,61,26,23,34,33,12,100,7,118,116,194,329,157,2413,178,0,0,12,20,0,4,1029,19,18,992,"list(list(c(-121.800618, -121.794116, -121.79168, -121.785616, -121.785202, -121.782847, -121.789363, -121.790239, -121.798301, -121.798894, -121.800618, 37.335547, 37.336824, 37.33749, 37.338678, 37.338684, 37.33173, 37.330419, 37.330271, 37.328667, 37.330449, 37.335547)))",0.02022653721682847,0.1156957928802589,0.01699029126213592,2235,36,1200,0.4,595.1999999999999,396.8,894,1341,1072,861312,1956,0.002270954079358,87,796,0.7338187702265372,0.0703883495145631,0.6440129449838188,0.03613306181563443,0.07376709490261085,0.02912621359223301,0.01956,0.03613306181563443,45
06069000600,35225,2680,29,585,1160,317,589,310,979,885,506,308,821,542,1009,15,0,0,57,209,37,182,17,83,36,361,463,465,185,408,162,4757,20,14,0,35,0,78,103,1331,135,200,996,"list(list(c(-121.39065, -121.384529, -121.378603, -121.378472, -121.376828, -121.371893, -121.368924, -121.364796, -121.363939, -121.363615, -121.363612, -121.363611, -121.363587, -121.363544, -121.366519, -121.370945, -121.371099, -121.380328, -121.382354, -121.382415, -121.382526, -121.383577, -121.384208, -121.385761, -121.390455, -121.39065, 36.839329, 36.839093, 36.838813, 36.838808, 36.838748, 36.838548, 36.83922, 36.839241, 36.839246, 36.839246, 36.833386, 36.832799, 36.824335, 36.816271, 
36.817044, 36.819544, 36.819637, 36.824992, 36.826796, 36.826863, 36.826994, 36.828319, 36.829226, 36.831559, 36.8387, 36.839329)))",0.01082089552238806,0.11567164179104478,0.00559701492537313,4737,230,2450,0.4,597.6,398.4,1894.8,2842.2,1914.8,32573,1376,0.04224357596782611,72,1220,0.5787313432835821,0.026865671641791045,0.4552238805970149,0.012035170780006292,0.004204330460374185,0.08582089552238806,0.01376,0.012035170780006292,32
06085503401,26816,950,29,153,232,275,261,155,251,290,254,97,161,126,566,20,38,75,6,18,52,22,13,6,69,101,157,149,70,88,66,1991,79,9,5,19,3,21,28,458,30,110,318,"list(list(c(-121.845527, -121.843109, -121.839609, -121.837411, -121.836973, -121.834479, -121.831756, -121.833859, -121.836705, -121.838802, -121.839498, -121.842098, -121.845263, -121.844391, -121.846479, -121.845527, 37.338275, 37.339904, 37.336302, 37.334046, 37.333597, 37.331039, 37.328287, 37.326883, 37.329635, 37.328249, 37.327841, 37.330478, 37.334065, 37.334476, 37.337013, 37.338275)))",0.03052631578947368,0.1631578947368421,0.02105263157894736,1912,85,865,0.4,190.8,127.2,764.8000000000001,1147.1999999999998,843.8000000000001,940733,3661,0.00389164619504152,139,373,0.728421052631579,0.1463157894736842,0.39263157894736844,0.07672486154646319,0.03967855349070819,0.08947368421052632,0.03661,0.07672486154646319,73
06085512020,43261,2562,21,1111,762,392,276,86,1105,949,422,638,699,339,886,0,0,43,0,100,0,81,75,0,239,263,407,468,356,94,436,4816,233,21,0,219,0,0,14,740,36,163,541,"list(list(c(-121.841897, -121.837354, -121.83524, -121.831792, -121.831173, -121.82905, -121.833522, -121.833825, -121.831932, -121.831087, -121.841029, -121.841049, -121.839513, -121.837542, -121.839679, -121.841897, 37.276928, 37.27989, 37.277823, 37.274471, 37.273889, 37.272403, 37.26934, 37.268902, 37.268, 37.26598, 37.265995, 37.26914, 37.273011, 37.273173, 37.274604, 37.276928)))",0.00819672131147541,0.03356752537080406,0,4583,254,2308,0.4,324.59999999999997,216.4,1833.2,2749.8,2066.2,911924,1692,0.00185541777604274,43,1354,0.4781420765027322,0.01678376268540203,0.5284933645589384,0.007460562179758681,0.04838039867109634,0.09914129586260734,0.01692,0.007460562179758681,19
06085503110,22625,1130,73,225,558,142,132,116,298,494,222,24,242,173,691,32,43,28,38,18,64,93,159,96,67,101,122,92,121,40,16,2109,89,0,41,66,32,14,36,600,200,55,345,"list(list(c(-121.854078, -121.851918, -121.851632, -121.848591, -121.846667, -121.841773, -121.842028, -121.843269, -121.843492, -121.845851, -121.848116, -121.853638, -121.857157, -121.854078, 37.338091, 37.339666, 37.33904, 37.335812, 37.333875, 37.328955, 37.328796, 37.327971, 37.329578, 37.328534, 37.327047, 37.332736, 37.336268, 37.338091)))",0.06460176991150443,0.10265486725663717,0.02831858407079646,2020,189,941,0.4,207,138,808,1212,897,967290,7139,0.00738041331968696,141,269,0.7646017699115044,0.12477876106194691,0.23805309734513275,0.06513075070348334,0.04220009483167378,0.1672566371681416,0.07139,0.06513075070348334,74
06085512029,54504,2307,49,555,946,486,271,442,725,837,303,521,638,501,647,0,57,0,38,18,64,81,15,24,96,92,215,347,347,323,590,3627,120,18,31,81,0,0,63,834,29,115,690,"list(list(c(-121.830838, -121.825074, -121.821818, -121.817494, -121.812841, -121.809802, -121.808862, -121.807752, -121.804024, -121.803944, -121.804056, -121.805918, -121.817689, -121.820398, -121.823479, -121.829988, -121.829969, -121.830838, 37.251288, 37.251398, 37.251426, 37.251459, 37.251494, 37.25125, 37.251543, 37.251849, 37.251476, 37.245964, 37.24302, 37.24325, 37.243414, 37.243575, 37.244396, 37.247493, 37.248048, 37.251288)))",0.0212397052449068,0.1915908105765063,0,3507,193,2114,0.4,414,276,1402.8000000000002,2104.2,1522.8000000000002,892679,2073,0.0023222233299988,95,1607,0.4976159514521023,0.0411790203727785,0.6965756393584742,0.020503679395332302,0.033085194375516956,0.08365843086259211,0.02073,0.020503679395332302,47
06085503118,32371,1653,40,518,733,242,120,128,577,667,281,268,542,239,604,20,18,0,42,89,65,30,40,65,172,186,236,252,176,167,95,3089,96,13,0,110,0,32,77,187,13,14,160,"list(list(c(-121.849394, -121.845747, -121.844922, -121.843244, -121.842231, -121.839579, -121.836509, -121.840205, -121.843304, -121.846715, -121.849394, 37.322039, 37.324603, 37.323801, 37.322065, 37.321032, 37.318312, 37.315172, 37.312787, 37.315907, 37.319309, 37.322039)))",0.02419842710223835,0.07743496672716274,0.01209921355111917,2993,232,1421,0.4,96,64,1197.2,1795.8,1293.2,900527,1287,0.00142916314558031,80,690,0.5099818511796733,0.04839685420447671,0.41742286751361163,0.024383678976691626,0.03107801877630301,0.14035087719298245,0.01287,0.024383678976691626,40
