fromId,toId,car_time
06085512042,06085512042,0
06085512042,06085503306,13
06085512042,06085503108,9
06085512042,06085503323,13
06085512042,06069000600,49
06085512042,06085503401,13
06085512042,06085512020,4
06085512042,06085503110,14
06085512042,06085512029,6
06085512042,06085503118,12
06085512042,06085503116,6
06085512042,06085509107,27
06085512042,06085510803,30
06085512042,06085504418,22
06085512042,06085509902,28
06085512042,06085511301,33
06085512042,06085511913,15
06085512042,06085503703,13
06085512042,06085503105,14
06085512042,06085503710,15
06085512042,06085503003,10
06085512042,06085509201,26
06085512042,06085508505,25
06085512042,06085503211,10
06085512042,06085500902,13
06085512042,06085506102,22
06085512042,06085510300,28
06085512042,06085501402,13
06085512042,06085512026,6
06085512042,06085512032,11
06085512042,06085500400,16
06085512042,06069000802,109
06085512042,06085503121,9
06085512042,06085502800,14
06085512042,06085512603,28
06085512042,06085506402,19
06085512042,06085506301,21
06085512042,06085512019,7
06085512042,06085506604,21
06085512042,06085503001,11
06085512042,06085512031,10
06085512042,06085506401,17
06085512042,06085501401,14
06085512042,06085503324,12
06085512042,06085508001,24
06085512042,06085503511,12
06085512042,06085504505,19
06085512042,06085512045,9
06085512042,06085509202,27
06085512042,06085512023,7
06085512042,06069000300,49
06085512042,06085512311,17
06085512042,06085503402,12
06085512042,06085509500,28
06085512042,06085509700,26
06085512042,06085504901,22
06085512042,06085503002,9
06085512042,06085503601,13
06085512042,06085504320,21
06085512042,06085508404,26
06085512042,06085512038,8
06085512042,06085505303,21
06085512042,06085503507,14
06085512042,06085507903,25
06085512042,06085506305,21
06085512042,06085507807,24
06085512042,06085506103,21
06085512042,06085512047,10
06085512042,06085503713,15
06085512042,06085504423,23
06085512042,06085505402,22
06085512042,06085504410,21
06085512042,06085510900,31
06085512042,06085503510,14
06085512042,06085511916,14
06085512042,06085503117,13
06085512042,06085507808,23
06085512042,06085509404,29
06085512042,06085512037,9
06085512042,06085503218,5
06085512042,06085503329,11
06085512042,06085506803,15
06085512042,06085500100,15
06085512042,06085508602,25
06085512042,06085511707,46
06085512042,06085508403,25
06085512042,06085503707,14
06085512042,06085503212,9
06085512042,06085503708,16
06085512042,06085511912,18
06085512042,06085504421,24
06085512042,06085503336,9
06085512042,06085512508,30
06085512042,06085512506,28
06085512042,06085508003,22
06085512042,06085503210,8
06085512042,06085501200,15
06085512042,06085502906,14
06085512042,06085504413,23
06085512042,06085501501,14
06085512042,06085509106,26
06085512042,06085501600,12
06085512042,06085509403,29
06085512042,06085512200,55
06085512042,06085503111,11
06085512042,06085503712,15
06085512042,06085506606,19
06085512042,06085504806,21
06085512042,06085501502,15
06085512042,06085507205,23
06085512042,06085503113,11
06085512042,06085503123,12
06085512042,06085504319,17
06085512042,06085506605,20
06085512042,06085505500,22
06085512042,06085506000,21
