route,ridership,ridership_HBW
20,2854,2854
21,2454,2454
22,2813,2813
23,2313,2313
25,1746,1746
26,1869,1869
27,1016,1016
31,65,65
37,126,126
39,102,102
40,690,690
42,274,274
44,2,2
47,376,376
500,172,172
51,596,596
51H,385,385
52,258,258
522,3225,3225
523,1060,1060
53,778,778
55,665,665
56,1260,1260
568,378,378
57,2325,2325
59,2021,2021
60,3067,3067
61,2660,2660
64A,725,725
64B,1084,1084
66,2959,2959
68,2226,2226
70,1294,1294
71,565,565
72,793,793
73,986,986
77,983,983
822,100,100
824,148,148
825,64,64
827,162,162
828,91,91
83,80,80
831,107,107
84,3,3
85,6,6
86,52,52
87,147,147
Blue,3407,3407
Green,2411,2411
Ornge,2520,2520
