route,ridership,ridership_NHB
20,2398,2398
21,3336,3336
22,4426,4426
23,2970,2970
25,4004,4004
26,4014,4014
27,2268,2268
31,183,183
37,306,306
39,212,212
40,878,878
42,386,386
44,4,4
47,546,546
500,284,284
51,1106,1106
51H,736,736
52,326,326
522,4308,4308
523,2078,2078
53,1185,1185
55,1105,1105
56,2870,2870
568,488,488
57,3402,3402
59,1520,1520
60,4070,4070
61,4228,4228
64A,1529,1529
64B,2012,2012
66,4190,4190
68,3522,3522
70,2610,2610
71,1152,1152
72,1287,1287
73,1336,1336
77,1573,1573
822,112,112
824,78,78
825,70,70
827,98,98
828,48,48
83,184,184
831,70,70
84,6,6
85,17,17
86,108,108
87,182,182
89,0,0
Blue,3860,3860
Green,2288,2288
Ornge,3150,3150
