service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20220214,20220610
10201,1,0,1,1,0,0,0,20220214,20220525
10301,0,1,0,0,1,0,0,20220215,20220610
10801,1,0,0,1,0,0,0,20220214,20220525
10901,0,1,1,0,1,0,0,20220215,20220610
11001,1,0,0,1,0,0,0,20220214,20220525
117501,1,1,1,1,1,0,0,20220218,20220610
12101,0,0,1,0,1,0,0,20220216,20220603
12201,1,1,0,1,0,0,0,20220214,20220610
13101,1,1,1,1,1,0,0,20220214,20220609
13701,1,1,1,1,1,0,0,20220214,20220527
13801,0,1,1,1,1,0,0,20220217,20220610
148801,1,1,1,1,1,0,0,20220217,20220304
148802,0,0,0,0,0,1,0,20220219,20220226
148803,0,0,0,0,0,0,1,20220220,20220227
15001,1,1,1,1,1,0,0,20220214,20220602
15201,0,0,1,0,1,0,0,20220215,20220527
154501,0,1,0,0,1,0,0,20220215,20220602
15501,0,0,1,0,1,0,0,20220216,20220603
15601,1,1,0,1,0,0,0,20220214,20220610
156601,1,1,1,1,1,0,0,20220214,20220602
156701,1,1,1,1,0,0,0,20220214,20220519
15701,0,0,1,0,1,0,0,20220215,20220527
15901,1,1,1,1,1,0,0,20220214,20220526
16001,1,1,1,1,1,0,0,20220221,20220610
16101,0,0,1,0,1,0,0,20220216,20220603
16201,1,1,0,1,0,0,0,20220214,20220610
16501,0,1,0,0,1,0,0,20220215,20220526
17101,1,1,1,1,1,0,0,20220214,20220526
17801,1,1,1,1,1,0,0,20220214,20220526
18001,1,1,0,1,1,0,0,20220214,20220609
18101,0,0,1,0,0,0,0,20220216,20220610
18201,1,1,0,1,0,0,0,20220214,20220602
18301,0,0,1,0,1,0,0,20220216,20220610
183301,1,1,1,1,1,0,0,20220214,20220610
183302,0,0,0,0,0,1,0,20220305,20220611
183303,0,0,0,0,0,0,1,20220306,20220612
18401,0,0,1,0,0,0,0,20220216,20220608
18501,1,1,0,1,1,0,0,20220214,20220610
19001,1,1,0,1,1,0,0,20220214,20220610
192101,1,0,1,0,1,0,0,20220214,20220610
192301,1,1,1,1,1,0,0,20220218,20220610
192601,1,1,1,1,1,0,0,20220214,20220527
192701,1,1,1,1,1,0,0,20220218,20220610
19301,0,1,0,0,1,0,0,20220215,20220602
19701,1,1,1,1,1,0,0,20220214,20220531
2,0,0,0,0,0,1,0,20220219,20220611
206801,1,1,1,1,1,0,0,20220214,20220608
206901,1,1,1,1,1,0,0,20220214,20220608
207001,1,1,0,1,0,0,0,20220214,20220602
207101,1,0,0,0,0,0,0,20220214,20220523
207201,1,0,0,0,0,0,0,20220214,20220523
207501,1,1,1,1,1,0,0,20220214,20220608
208201,1,1,1,1,1,0,0,20220214,20220527
218101,1,1,1,1,1,0,0,20220221,20220610
225601,0,0,1,0,0,0,0,20220216,20220518
227601,1,1,1,1,1,0,0,20220214,20220606
232101,1,1,1,1,1,0,0,20220221,20220610
234801,1,1,1,1,1,0,0,20220214,20220606
234901,1,1,1,1,1,0,0,20220214,20220606
242101,1,1,1,1,1,0,0,20220214,20220610
242201,1,1,1,1,1,0,0,20220221,20220610
3,0,0,0,0,0,0,1,20220220,20220612
32701,1,1,1,1,1,0,0,20220214,20220602
32801,1,1,1,1,1,0,0,20220221,20220610
47401,0,0,1,0,0,0,0,20220216,20220518
5701,1,0,1,1,0,0,0,20220214,20220525
5801,0,1,0,0,1,0,0,20220215,20220610
5901,0,1,0,0,1,0,0,20220215,20220602
6001,1,0,1,1,0,0,0,20220214,20220610
6201,1,0,1,1,0,0,0,20220214,20220525
6301,0,1,0,0,1,0,0,20220215,20220610
6401,1,1,1,1,1,0,0,20220214,20220602
6501,1,1,1,1,1,0,0,20220221,20220610
6601,0,0,1,0,0,0,0,20220216,20220525
6701,1,1,0,1,1,0,0,20220214,20220610
74501,1,0,0,0,0,0,0,20220228,20220523
74601,1,0,0,0,0,0,0,20220228,20220523
7601,1,1,0,1,1,0,0,20220214,20220527
7901,0,1,0,1,0,0,0,20220215,20220602
8001,0,1,0,1,0,0,0,20220215,20220602
8701,0,0,1,0,1,0,0,20220216,20220603
8901,1,1,0,1,0,0,0,20220214,20220602
89701,0,0,1,0,1,0,0,20220216,20220603
90101,1,0,1,0,1,0,0,20220214,20220610
9501,1,1,1,1,1,0,0,20220214,20220608
9601,0,1,0,1,0,0,0,20220214,20220526
99001,1,1,1,1,1,0,0,20220221,20220610
9901,1,1,1,1,1,0,0,20220214,20220526
